Exploitation,Automatable,Technical Impact,Mission and Well-being,Decision
none,no,partial,low,Track
none,no,partial,medium,Track
none,no,partial,high,Track
none,no,total,low,Track
none,no,total,medium,Track
none,no,total,high,Track*
none,yes,partial,low,Track
none,yes,partial,medium,Track
none,yes,partial,high,Attend
none,yes,total,low,Track
none,yes,total,medium,Track
none,yes,total,high,Attend
poc,no,partial,low,Track
poc,no,partial,medium,Track
poc,no,partial,high,Track*
poc,no,total,low,Track
poc,no,total,medium,Track*
poc,no,total,high,Attend
poc,yes,partial,low,Track
poc,yes,partial,medium,Track
poc,yes,partial,high,Attend
poc,yes,total,low,Track
poc,yes,total,medium,Track*
poc,yes,total,high,Attend
active,no,partial,low,Track
active,no,partial,medium,Track
active,no,partial,high,Attend
active,no,total,low,Track
active,no,total,medium,Attend
active,no,total,high,Act
active,yes,partial,low,Attend
active,yes,partial,medium,Attend
active,yes,partial,high,Act
active,yes,total,low,Attend
active,yes,total,medium,Act
active,yes,total,high,Act
